9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"BÉRENGER, Laurent-Pierre cm";"Le peuple instruit par ses propres vertus ou cours complet d’instructions et d’anecdotes, recueillies dans nos meilleurs auteurs et rassemblées pour consacrer les belles actions du peuple, & l’encourager à en renouveler les exemples, ouvrage classique principalement destiné au peuple des villes & des campagnes, & à ses enfans de l’un & de l’autre sexe, & distribué de manière à pouvoir servir de lecture amusante & d’instruction morale chaque jour de l’année, rédigé par P.L. Bérenger";;
"BÉRENGER, Laurent-Pierre cm";"Le mentor vertueux, moraliste et bienfaisant ou choix de faits mémorables, d’anecdotes intéressantes, d’entretiens moraux, de lettres & de descriptions propres à inspirer le goût des choses honnêtes, & à former le style & le langage des jeunes gens";;
"BÉRENGER, Laurent-Pierre et le père Eustache GU1BAUD";"La morale en action ou élite de faits mémorables et d’anecdotes instructives, propres à faire aimer la vertu & à former les jeunes gens dans l’art de la narration, ouvrage utile à messieurs les élèves des écoles militaires & des collèges";;
"BÉRENGER. Jean-Pierre";;;
"BERINGTON, Simon";"Mémoires de Gaudence de Luques, prisonnier de l’Inquisition augmentés de plusieurs cahiers qui avoient été perdus à la douanne de Marseille, enrichis de sçavantes remarques de monsieur Rhedi et de figures en taille douce";;
"BERKELEY, George Monck";"L’indépendant, nouvelle anglaise, imitée par M. Soulès";;
"BERNARD, François";"La gazette de Cythère ou aventures galantes et récentes arrivées dans les principales villes de l’Europe, traduite de l’anglais, à la fin de laquelle on a joint le Précis historique de la vie de Mad. la comtesse du Barry";;
"BERNARD, Pierre-Joseph, dit Gentil-Bernard";"Les heureux malheurs ou Adélaïde de Wolver, par M. B***";;
"BERQUIN, Arnaud";"L’ami de l’adolescence, par M. Berquin";;
"BERQUIN, Arnaud";"Le livre de famille ou journal des";;
"BERQUIN, Arnaud";"Bibliothèque des villages, par M. Berquin";;
"BERQUIN, Arnaud";"L’ami des enfans, par M. Berquin";;
"BERTHEVIN, J.-J. -G.";"Pauline et moi, par Berthevin";;
"BERTIN, le chevalier Antoine de";"Voyage de Bourgogne, à M***";;
"BERTRAND (de Montpellier)";"Sargines, nouvelle par M. d’Arnaud";;
"BERTRAND, Elie";"Le Thévenon ou les journées de la montagne, par M.E. Bertrand, conseiller-privé de la cour de Pologne, membre de plusieurs Académies des";;
"BÉTHISY DE MÉZIÈRES, Eugène-Eléonore de";"Lettres de M***";;
"BETTE D’ETTIENVILLE, Jean-Charles-Vincent de";"La marquise de Ben***";;
"BEUVIUS, Adam";"Louise de H*** ou le triomphe de l’innocence, roman moral traduit de l’allemand";;
"BICKNELL, Alexander";"Isabelle ou la récompense d’un bon naturel, ouvrage sentimental destiné à l’éducation & à l’amusement du beau sexe, par l’auteur de ['Homme bienfaisant & de ['Histoire d’Anne Neville, traduit de l’anglais par M.D.L.V.";;
"BIEVRE, François-Georges Maréchal, marquis de";"Mémoires d’un Languedocien, contenant des voyages, des avantures et des événements curieux et intéressants, des combats, des intrigues galantes & des réflexions propres à faire connoitre le danger des passions de la jeunesse, par le détail même de leurs causes & de leurs effets, par Mr. B******d, de Montpellier";;
"BIÈVRE, François-Georges Maréchal, marquis de";"Lettre écrite à madame la comtesse Tation";;
"BIGNON, abbé Jean-Paul et Louis-Daniel COLSON n";"Les aventures d’Abdalla ou son voyage à l’isle de Borico, traduction de l’arabe, nouvelle édition, ornée de figures en taille-douce";;
"BILDERBECK, baron Ludwig Benedict Franz von";"Bagatelles littéraires, par L.B. de Bilderbeck";;
"BILDERBECK, baron Ludwig Benedict Franz von";"Cyane, roman grec, par le baron de Bilderbeck";;
"BILLARDON DE SAUVIGNY, Louis-Edmc";"Apologues orientaux dédiés à monseigneur le Dauphin";;
"BILLARDON DE SAUVIGNY, Louis-Edme";"L’innocence du premier âge en France";;
"BILLARDON DE SAUVIGNY, Louis-Edme Histoire amoureuse de Pierre";"Le Long et de sa très honnorée dame Blanche Bazu, écritte par iceluy";;
"BISSY, Claude de Thyard, comte de";"Histoire d’Ema";;
"BITAUBÉ, Paul-Jérémie";"Guillaume, en dix chants, par M. Bitaubé de l’Académie royale des sciences et belles-lettres de Berlin";;
"BITAUBÊ, Paul-Jérémie";"Joseph, en neuf chants, par M. Bitaubé de l’Académie royale des sciences et belles-lettres de Prusse";;
"BIZET et Hector CHAUSSIER";"Henriette et Edouard ou le château de Welcome, suivi des Voyages de Zaffar, par l’auteur du Tombeau, de VEnfant du mystère, etc.";;
"BIZET et Hector CHAUSSIER";"Le tombeau, ouvrage posthume d’Anne Radcliffe, auteur de l’Abbaye de Sainte-Claire, des Mystères d’Udolphe, de l’Italien, etc., traduit sur le manuscrit par Hector-Chaussier et Bizet";;
"BIZET et Hector CHAUSSIER";"Le pacha ou les coups du hazard et de la fortune, par les auteurs du Tombeau";;
"BLANCHARD, Pierre";"Petite bibliothèque des enfans, par P. Blanchard, auteur de Félix el Pauline";;
"BLANCHARD, Pierre";"Rosebelle, historiette du treizième siècle, par P.B. de Dammartin";;
"BLANCHARD, Pierre";"Laurence de Sainte-Beuve, nouvelle, par Pierre Blanchard";;
"BLANCHARD, Pierre";"Le rêveur sentimental, par P. Blanchard, auteur du Catéchisme de la nature, de Félix et Pauline et de la Petite bibliothèque des enfans";;
"BLANCHARD, Pierre";"Rose ou la bergère des bords du Morin, suivie de la Chaumière du vieux marin, par Pierre Blanchard";;
"BLANCHARD, Pierre";"Simplicie ou les voluptés d’amour";;
"BLANCHARD, Pierre";"Philétas, roman pastoral par Pierre Blanchard";;
"BLANCHARD, Pierre";"Félix et Pauline ou le tombeau au pied du Mont-Jura, par P. Blanchard";;
"BLANCHARD, PierTe";"Les enfans de la nature, par P. B**";;
"BLANCHET, abbé François";"Apologues et contes orientaux, etc., par l’auteur des Variétés morales et amusantes";;
"BLANES, Henri-Barthélemy";"Roman oriental";;
"BLONDEAU, Etienne-Nicolas";"Voyage de Monacht-Apé pour servir de suite ou de pendant aux Voyages de Gulliver, par Mr. Blondeau, professeur de mathématique";;
"BLONDEL, Jacques-François de et Jean-François de BASTIDE";"L’homme du monde éclairé par les arts, par M. Blondel, archi tecte du roi, professeur royal au Louvre, peintre de l’Académie d’architecture, publié par M. de Bastide";;
"BLOWER, Elizabeth";"La visite d’été ou portraits modernes par l’auteur de Georges Bateman et Maria, en deux volumes, traduit de l’anglois par M. de la Montagne, auteur de plusieurs ouvrages dramatiques";;
"BOCCACCIO, Giovanni";"Castres Contes de J. Boccace, traduction nouvelle";;
"BOCQUILLON";"Le prix de la vertu, roman moral par M. Bocquillon";;
"BODARD DE TEZAY, Nicolas-Marie-Félix";"Le dernier cri du monstre, conte indien Juillet";;
"BODARD DE TEZAY, Nicolas-Marie-Félix";"Le monstre déchiré, vision prophétique d’un Persan qui ne dort pas toujours";;
"BODIN DE BOISMORTIER, Suzanne";"Histoires morales, suivies d’une correspondance épistolaire entre deux dames, par mademoiselle ***";;
"BODIN DE BOISMORTIER, Suzanne";"Histoire de Jacques Féru et de valeureuse damoiselle Agathe Mignard, écrite par un ami d’iceux avec des airs notés";;
"BOESNIER";"Le Mexique conquis";;
"BOIARDO, Matteo Maria";"Extrait de Roland l’amoureux de Mathéo Maria Boyardo. comte de Scandiano, par M. le comte de Tressan";;
"BOIELDIEU, Marie-Jacques-Amand";"Valmidor et Florella ou les heureux infortunés, conte moral et didactique destiné à l’éducation";;
"BOISG1RON, madame de";"Lectures pour les enfans ou choix de petits contes également propres à les amuser & à leur faire aimer la vertu";;
"BOISGELIN DE KERDU, chevalier Pierre-Marie-Louis de et m Alphonse-Toussaint-Joseph-André-Marie Marseille, comte de FORTIA DE PILES";"Correspondance philosophique de Caillot Duval, rédigée d’après les pièces originales et publiée par une société de littérateurs lorrains";;
"BOISGIRON, madame de";"Lettres de mademoiselle de Boismiran, recueillies et publiées par madame de ***";;
"BOISMINON (BOISMIRON)";"Ecole du monde à l’usage des jeunes gens de l’un et de l’autre sexe";;
"BONAPARTE, Joseph-Napoléon, roi d’Espagne";"Moïna ou la villageoise du Mont-Cenis";;
"BONAPARTE, Lucien, prince de";"Canino La tribu indienne ou Edouard et Stellina, par le citoyen L.B.";;
"BONHOTE, Mrs Elizabeth";"Olivia, roman traduit librement de l’anglois, par M.D.";;
"BONHOTE, Mrs Elizabeth";"Les promenades de M. Frankly, publiées par sa sœur, traduction de l’anglois";;
"BONHOTE, Mrs Elizabeth trad.par?";"Hélène Woudley, traduit de l’anglais de milady Bonhot";;
"BOOSER, madame";"Triomphe de la saine philosophie ou la vraie politique des femmes, par la C. B***";;
"BORDE, Charles";"Le catéchumène, traduit du chinois";;
"BORDELON, Laurent";"Histoire de M. Oufle, par abbé Bordelon et la description du sabbat";;
"BOUDIER DE VILLEMERT, Pierre-Joseph";"Le monde joué ou mémoires pour servir à l’histoire du genre humain";;
"BOUFFLERS, Stanislas-Jean, marquis de";"La reine de Golconde, conte";;
"BOULARD, Martin-Sylvestre";"La vie et les aventures de Ferdinand Vertamont et de Maurice son oncle, avec la description du pays & des mœurs des Péru-Mexicains, & la découverte du trésor des anciens empereurs du Mexique, par M.B.I.L.oc-e .";;
"BOULARD, Martin-Sylvestre";"Le roman de Merlin l’enchanteur, remis en bon français et dans un meilleur ordre, par M. S. Boulard";;
"BOULLAULT, Mathurin-J.";"La mendiante de qualité, anecdote française";;
"BOURLIN, Antoine-Jean";"Les amours et aventures d’un émigré";;
"BOURLIN, Antoine-Jean";"L’enfant de mon père ou les torts du caractère et de l’éducation, par A.J. Dumaniant, auteur des Aventures d’un émigré, de Guerre ouverte, etc.";;
"BOUTERWEK, Friedrich";"Le comte de Donamar ou lettres écrites en Allemagne pendant la guerre de sept ans, traduit de l’allemand";;
"BOUTET DE MONVEL, Jacques-Marie";"La fille philosophe, conte moral par Fulgence Bédigis";;
"BR1CAIRE DE LA DIXMERIE, Nicolas";"Toni et Clairette, par M. de La Dixmerie";;
"BRANCAS-VILLENEUVE, André-François, abbé de";"Histoire ou police du royaume de Gala, traduite de l’italien en anglois et de l’anglois en françois";;
"BRANDON, Isaac";"Fragmens à la manière de Sterne, traduits de l’anglois par Mellinet aîné";;
"BRAYER DE SAINT-LEON, Louise-Marguerite-Jeanne-Madelcine";"Eugénio et Virginia, omé de figures dessinées par Lebarbier aîné et gravées par Baquoy et Patas";;
"BRET, Antoine";"Essai de contes moraux et dramatiques par M. B***";;
"BRET, Antoine";"Les amours de l’Ange-lure, roman historique par Mr. le marquis de B*****";;
"BRICA1RE DE LA DIXMERIE, Nicolas";"Les suites d’un moment d’erreur ou lettres de mademoiselle de Keresmont, publiées par madame de ***";;
"BRICAIRE DE LA DIXMERIE, Nicolas";"La comète, conte en l’air";;
"BRICAIRE DE LA DIXMERIE, Nicolas";"Le géant Isoirc, sire de Mont-Souris, histoire gauloise traduite du celte par M. de La Dixmerie";;
"BRICAIRE DE LA DIXMERIE, Nicolas";"Les dangers d’un premier choix ou lettres de Laure à Emilie par M. de La Dixmerie";;
"BRICAIRE DE LA DIXMERIE, Nicolas";"L’isle taciturne et l’isle enjouée ou voyage du génie Alaciel dans les deux isles";;
"BRICAIRE DE LA DIXMERIE, Nicolas";"Le livre d’airain, histoire indienne";;
"BRICAIRE DE LA DIXMERIE, Nicolas";"Contes philosophiques et moraux par M. de La Dixmerie";;
"BRICAIRE DE LA DIXMERIE, Nicolas n";"Contes philosophiques et moraux, par M. de La Dixmerie, nouvelle édition corrigée & augmentée";;
"BRIDEL, Jean-Louis";"Les infortunes du chevalier de la Lande, mort à";;
"BRIEL, J. -H. D.";"Le danger d’une première faute, histoire angloise par J.H.D. B****, auteur du Nouveau petit Pompée";;
"BRIEL, J.-H.-D.";"Les voyages du (sic) lord Henri, histoire angloise, par J.H.D.B***, auteur du Nouveau petit Pompée & du Danger d’une première faute";;
"BRIEL, J.-H.-D.";"Les heures de loisir ou nouveaux contes moraux, par J.H.D.B****, auteur des Voyages du lord Henri";;
"BRISSOT DE WARVILLE, Jacques-Pierre";"Le pot pourri, étrennes aux gens de lettres";;
"BRIZARD, abbé Gabriel";"Fragment de Xénophon, nouvellement trouvé dans les ruines de Palmyre par un Anglois & déposé au Muséum Britannicum à Londres, traduit du grec par un François et lu à l’assemblée publique du Musée de";;
"BROHON, Jacqueline-Aimée";"Tablettes enchantées";;
"BROHON, Jacqueline-Aimée";"Les amans philosophes ou le triomphe de la raison, par mademoiselle B***";;
"BROOKE, Frances Moore";"Histoire d’Emilie Montague par l’auteur de Julie Mandeville traduit (sic) de l’anglois";;
"BROOKE, Frances Moore";"Histoire de miss West ou l’heureux dénouement, par madame ***, auteur de VHistoire d’Emilie Montagu, traduite de l’anglois";;
"BROOKE, Frances Moore";"L’excursion ou lescapade (sic), par madame Brooke, auteur de YHistoire de Julie Mandeville & d’Emilie Montague, ouvrage traduit de l’anglois";;
"BROOKE, Frances Moore";"Histoire de Julie Mandcville ou lettres traduites de l’anglois sur la troisième édition par M. B***";;
"BROOKE, Frances Moore";"Histoire d’Emilie Montague par M. (sic) Brooke, imitée de l’anglois par monsieur Frenais";;
"BROOKE, Frances Moore, Maria Sophie Gutermann, et Frau von LA ROCHE, Salomon GESSNER et des AU TEURS INCONNUS";"Bibüothèque anglaise ou recueü d’histoires, contes moraux, romans, aventures, anecdotes & caricatures, tirés des meilleurs auteurs anglais, traduits en français par M. de Goumay";;
"BRUIX, de (de Bayonne! et Antoine de LERIS";"Les après-soupées de la campagne ou recueil d’histoires courtes, amusantes et intéressantes";;
"BRUIX.de (de Bayonne)";"Sennemours et Rosalie de Civraye, histoire françoise";;
"BRUMENT";"Henriette de Wolmar ou la mère jalouse de sa fille, histoire véritable pour servir de suite à la Nouvelle Héloïse, par J.J.R.";;
"BRUNET DE BAINES";"Le passe-tems ou recueil de contes intéressans, moraux & récréatifs par M. Brunet de Baines";;
"BRUNO, Louis de";"Lioncel ou l’émigré, nouvelle historique par Louis de Bruno, né sur les rives du Gange";;
"BRUSSEL, Pierre";"La promenade utile et récréative de deux Parisiens en cent soixante cinq jours";;
"BRUTÉ DE LOIRELLE, abbé";"L’héroïsme de l’amitié, David et Jonathas, poème en quatre chants. On y a joint plusieurs pièces, tant en vers qu’en prose, sur différens sujets, par M. l’abbé Bruté, censeur royal";;
"BURKE, Mrs W.";"Ela ou les illusions du cœur, traduite de l’anglois";;
"BURTON, Mrs";"Laure ou la grotte du père Philippe, traduit de l’anglais de mistris Burton par Cantwell";;
"BUTEL-DUMONT, Georges-Marie";"Le protecteur bourgeois ou la confiance trahie, comédie en vers, par monsieur B****, tome second";;
"BUTINI, Jean-François";"Argénis, traduction libre et abrégée de J. Bardai, par M. Savin, ancien professeur d’humanités au Collège de la Magdeleine de Bordeaux";;
"CACOUAULT DE LA MIMARDIÈRE, mademoiseUe";"Le triomphe de la raison ou lettres de deux jeunes dames de qualité, dédié, par permission, à madame la duchesse de Devonshire, par mademoiselle Cacouault de la Mimardière";;
"CADET DE GASSICOURT, Charles-Louis";"Mon voyage ou lettres sur la ci-devant province de Normandie, suivies de quelques pièces fugitives, par C.L. Cadet Gassicourt";;
"CAGNIARD";"Histoire d’une famille, par M. D’Orson, mise au jour par M. Cagniard, avec figures";;
"CAILHAVA DE L’ESTENDOUX, Jean-François";"Le soupé des petits-maitres, ouvrage moral";;
"CAILLEAU, André-Charles";"Vie privée et criminelle d’Antoine-François Desrues, contenant les particularités de sa jeunesse, ses mauvaises inclinations, son insigne hypocrisie, & le détail des manoeuvres abominables & des crimes atroces commis, de dessein prémédité, par ce scélérat, envers la dame de Lamotte & son fils";;
"CAILLEAU, André-Charles";"La poissardiana ou les amours de Royal Vilain et de Mamzelle Javotte la Déhanchée. Dédié à monseigneur Mardi-Gras. Par M. de Fortengueule";;
"CALVEL, abbé Etienne";"Belise ou les deux cousines";;
"CAMBRY, Jacques";"La mesure des rois";;
"CAMBRY, Jacques";"Contes et proverbes, suivis d’une notice sur les troubadours, par M. de Cambry";;
"CAMÔES, Luis de";"La Lusiade de Louis Camoëns, poëme héroïque, en dix chants, nouvellement traduit du portugais, avec des notes & la vie de l’auteur, enrichi de figures à chaque chant";;
