9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"BARTHEZ (avocat)";"Callophile, histoire traduite de scythe en latin par un vieux philosophe visigoth et mise en françois par un jeune avocat du Languedoc";;
"BASEDOW, Johann Bernhard";"De l’éducation des princes destinés au trône, par Mr. Basedow, traduit de l’allemand par Mr. de B***";;
"BASTIDE, Jean-François";"de adapt. par ? n Le repentir des amants";;
"BASTIDE, Jean-François de";"Lettres d’amour du chevalier de ***";;
"BASTIDE, Jean-François de";"Contes de monsieur de Bastide";;
"BASTIDE, Jean-François de";"La petite maison";;
"BASTIDE, Jean-François de";"Les ressources de l’amour";;
"BASTIDE, Jean-François de";"L’être pensant";;
"BASTIDE, Jean-François de";"Le faux oracle et l’Illusion d’un instant, anecdotes.";;
"BASTIDE, Jean-François de";"Les têtes folles";;
"BASTIDE, Jean-François de";"Les aventures de Victoire Ponty";;
"BASTIDE, Jean-François de";"La trentaine de Cithère";;
"BASTON, abbé Guillaume-André-René";"Voltairimeros ou première journée de M. de V*** dans l’autre monde";;
"BASTON, abbé Guillaume-André-René";"Narrations d’Omaï, insulaire de la Mer du Sud, ami et compagnon de voyage du capitaine Cook, ouvrage traduit de l’o-taïtien par M. K***k, publié par le capitaine L.A.B.";;
"BAUDOUIN DE GUÉMADEUC";"L’espion dévalisé";;
"BAUG1N, Pierre-François-Cantien, avec Louis-Sébastien MERCIER. Simon-Pierre MÉRARD DE SAINT-JUST, Charlotte Chaumet, madame d’ORMOY et l’avocat ROSSEL";"La vertu chancelante ou la vie de mademoiselle d’Amincourt, dédiée au roi de Prusse";;
"BEAUCLAIR, Pierre-Louis de";"Histoire de mademoiselle de Grisoles écrite par elle même";;
"BEAUFORT D’AUBERVAL, Alphonse-Aimé";"Elle et moi ou folie et sagesse, par A.A. Beaufort";;
"BEAUFORT D’HAUTPOUL, comtesse Joséphine, née de";"Coutances Zilia, roman pastoral";;
"BEAUHARNAIS, Fanny de";"Le somnambule, œuvres posthumes en prose et en vers, où l’on trouve l’histoire générale d’une Isle très-singulière, découverte aux grandes Indes en 1784";;
"BEAUHARNAIS, Fanny de";"Volsidor et Zulménic, conte pour rire, moral, si l’on veut, & philosophique en cas de besoin";;
"BEAUHARNAIS, Fanny de";"L’Abailard supposé ou le sentiment à l’épreuve";;
"BEAUHARNAIS, Fanny de";"Les amans d’autrefois, par Mnle la comtesse de B***";;
"BEAUHARNAIS, Fanny de";"Le cabriolet ou l’égoïste corrigé, conte en l’air";;
"BEAUHARNAIS, Fanny de";"L’aveugle par amour, par l’auteur de Stéphanie & de l’Abailard supposé";;
"BEAUHARNAIS, Fanny de";"Lettres de Stéphanie, roman historique en trois parties";;
"BEAUHARNAIS, Fanny de, l’abbé Jean-Baptiste-Marie-Louis c de LA REYNIE DE LA BRUYÈRE, Raymond-Jacques-Marie, duc de NARBONNE-PELET et des AUTEURS INCONNUS";"Nouvelles folies sentimentales ou folies par amour, précédées de la Folie par haine, avec la Bague d’Hébé, conte érotique, pour faire suite à la Bibliothèque choisie de contes";;
"BEAUMANOIR, de";"Œuvres de M. de B***";;
"BEAUMER, madame de";"Œuvres mêlées";;
"BEAUNOIR, Alexandre-Louis-Bertrand Robineau, dit de";;;
"BEAUNOIR, Alexandre-Louis-Bertrand Robineau, dit de";"Alida et Dorval ou la nymphe de l’Amstel députée par les états-généraux à la recherche de la liberté";;
"BEAURIEU, Gaspard";"Guillard de L’élève de la nature";;
"BEAURIEU, Gaspard Guillard de";"Le porte-feuille amusant ou nouvelles variétés littéraires par l’auteur de l’Élève de la nature";;
"BEAURIEU, Gaspard Guillard de";"Le portefeuille français ou choix nouveau et intéressant de différentes pièces de prose et de poésie En France, se vend à";;
"BECCARY, madame";"Lettres de milady Bedfort, traduites de l’anglois par madame de B... G...";;
"BECCARY, madame";"Mémoires de Fanny Spingler, histoire angloise par madame Beccary";;
"BECCARY, madame";"Mémoires de Lucie d’Olbery, traduits de l’anglois par madame de B... G ..., auteur des Lettres de milady Bedford";;
"BECCARY, madame";"Milord d’Ambi, histoire angloise, par madame Beccary, auteur des Lettres de Lucie d’OIbery";;
"BÉDIGIS, François-Nicolas";"Anna ou les suites funestes des mauvais conseils, conte moral, par Fulgence Bédigis";;
"BÉDIGIS. François-Nicolas";"Suite des Epreuves du sentiment par M. d’Arnaud, tome quatrième, première anecdote, Ermance";;
"BEHN, Mrs Aphra, et George, lord LYTTELTON,";"Romans traduits de l’anglois";;
"BÊLIARD, François";"Zélaskim, histoire américaine, ou les avantures de la marquise de P***, avec un discours pour la défense des romans par M.B***";;
"BELLIN DE LA LIBORLIÉRE, Louis-François-Marie";"Voyage dans le boudoir de Pauline, par L.F.M.B.L.";;
"BELLIN DE LA LIBORLIÉRE, Louis-François-Marie";"Anna Grenwil, roman historique du siècle de Cromwel (sic), par L.F.M. Bellin La Laborlière, auteur de Célestine ou les époux sans l’étre, de la Nuit anglaise, etc. etc.";;
"BELLIN DE LA LIBORLIÈRE, Louis-François-Marie";"La nuit anglaise ou aventures jadis un peu extraordinaires, mais aujourd’hui toutes simples et très communes de M. Dabaud, marchand de la rue Saint-Honoré, à";;
"BENNETT, Agnes Maria";"Anna ou l’héritière galloise, traduite de l’anglois sur la quatrième édition";;
"BENNETT, Agnes Maria";"Les imprudences de la jeunesse, par l’auteur de Cécilia, traduit de l’anglois par madame la baronne de Vasse";;
